slug,state,suffix,rating,nyt_rating,repProb
cook,ak,0,Likely R,6,NA
cook,al,0,Solid R,7,NA
cook,ar,0,Solid R,7,NA
cook,az,0,Lean R,5,NA
cook,ca,0,Solid D,1,NA
cook,co,0,Lean D,3,NA
cook,ct,0,Solid D,1,NA
cook,dc,0,Solid D,1,NA
cook,de,0,Solid D,1,NA
cook,fl,0,Toss Up,4,NA
cook,ga,0,Lean R,5,NA
cook,hi,0,Solid D,1,NA
cook,ia,0,Lean R,5,NA
cook,id,0,Solid R,7,NA
cook,il,0,Solid D,1,NA
cook,in,0,Likely R,6,NA
cook,ks,0,Solid R,7,NA
cook,ky,0,Solid R,7,NA
cook,la,0,Solid R,7,NA
cook,ma,0,Solid D,1,NA
cook,md,0,Solid D,1,NA
cook,me-1,1,Solid D,1,NA
cook,me,0,Likely D,2,NA
cook,me-2,2,Toss Up,4,NA
cook,mi,0,Lean D,3,NA
cook,mn,0,Likely D,2,NA
cook,mo,0,Likely R,6,NA
cook,ms,0,Solid R,7,NA
cook,mt,0,Solid R,7,NA
cook,nc,0,Toss Up,4,NA
cook,nd,0,Solid R,7,NA
cook,ne-2,2,Toss Up,4,NA
cook,ne,0,Solid R,7,NA
cook,ne-1,1,Solid R,7,NA
cook,ne-3,3,Solid R,7,NA
cook,nh,0,Lean D,3,NA
cook,nj,0,Solid D,1,NA
cook,nm,0,Likely D,2,NA
cook,nv,0,Lean D,3,NA
cook,ny,0,Solid D,1,NA
cook,oh,0,Lean R,5,NA
cook,ok,0,Solid R,7,NA
cook,or,0,Solid D,1,NA
cook,pa,0,Lean D,3,NA
cook,ri,0,Solid D,1,NA
cook,sc,0,Likely R,6,NA
cook,sd,0,Solid R,7,NA
cook,tn,0,Solid R,7,NA
cook,tx,0,Likely R,6,NA
cook,us,0,NA,3,NA
cook,ut,0,Lean R,5,NA
cook,va,0,Likely D,2,NA
cook,vt,0,Solid D,1,NA
cook,wa,0,Solid D,1,NA
cook,wi,0,Lean D,3,NA
cook,wv,0,Solid R,7,NA
cook,wy,0,Solid R,7,NA
dailykos,ak,0,NA,7,1
dailykos,al,0,NA,7,1
dailykos,ar,0,NA,7,1
dailykos,az,0,NA,6,0.9194
dailykos,ca,0,NA,1,0
dailykos,co,0,NA,1,0.0016
dailykos,ct,0,NA,1,0
dailykos,dc,0,NA,1,0
dailykos,de,0,NA,1,0
dailykos,fl,0,NA,2,0.1216
dailykos,ga,0,NA,7,0.9728
dailykos,hi,0,NA,1,0
dailykos,ia,0,NA,7,0.9816
dailykos,id,0,NA,7,1
dailykos,il,0,NA,1,0
dailykos,in,0,NA,7,1
dailykos,ks,0,NA,7,1
dailykos,ky,0,NA,7,1
dailykos,la,0,NA,7,1
dailykos,ma,0,NA,1,0
dailykos,md,0,NA,1,0
dailykos,me,0,NA,1,0
dailykos,me-1,1,NA,8,NA
dailykos,me-2,2,NA,8,NA
dailykos,mi,0,NA,1,3e-04
dailykos,mn,0,NA,1,0
dailykos,mo,0,NA,7,1
dailykos,ms,0,NA,7,1
dailykos,mt,0,NA,7,1
dailykos,nc,0,NA,3,0.25
dailykos,nd,0,NA,7,1
dailykos,ne,0,NA,7,1
